;IBERDROLA;SANTANDER;INDITEX
05/11/2015;4,22;4,78;34,35
06/11/2015;4,20;4,87;32,94
09/11/2015;4,18;4,77;32,94
10/11/2015;4,20;4,75;33,17
11/11/2015;4,18;4,79;33,42
12/11/2015;4,17;4,61;32,95
13/11/2015;4,13;4,59;32,54
16/11/2015;4,17;4,55;32,71
17/11/2015;4,24;4,69;33,35
18/11/2015;4,21;4,69;32,66
19/11/2015;4,24;4,78;32,72
20/11/2015;4,24;4,74;33,13
23/11/2015;4,23;4,75;33,12
24/11/2015;4,19;4,77;32,30
25/11/2015;4,25;4,67;33,18
26/11/2015;4,28;4,75;33,28
27/11/2015;4,31;4,70;33,47
30/11/2015;4,29;4,74;34,06
01/12/2015;4,28;4,75;33,97
02/12/2015;4,28;4,68;34,59
03/12/2015;4,21;4,54;33,39
04/12/2015;4,27;4,55;33,25
07/12/2015;4,28;4,47;33,88
08/12/2015;4,23;4,34;32,92
09/12/2015;4,26;4,35;32,55
10/12/2015;4,26;4,32;32,11
11/12/2015;4,20;4,23;32,04
14/12/2015;4,16;4,08;31,42
15/12/2015;4,22;4,25;32,40
16/12/2015;4,18;4,28;32,29
17/12/2015;4,26;4,39;33,08
18/12/2015;4,19;4,32;32,22
21/12/2015;4,09;4,11;31,45
22/12/2015;4,10;4,15;31,64
23/12/2015;4,19;4,27;31,90
24/12/2015;4,21;4,31;31,79
25/12/2015;4,21;4,31;31,79
28/12/2015;4,19;4,20;31,49
29/12/2015;4,26;4,24;32,26
30/12/2015;4,26;4,23;32,01
31/12/2015;4,24;4,18;31,69
01/01/2016;4,24;4,18;31,69
04/01/2016;4,15;4,05;30,58
05/01/2016;4,20;4,02;30,37
06/01/2016;4,18;3,89;30,18
07/01/2016;4,18;3,81;30,07
08/01/2016;4,16;3,71;29,65
11/01/2016;4,15;3,74;29,44
12/01/2016;4,13;3,79;30,11
13/01/2016;4,16;3,81;30,01
14/01/2016;4,12;3,77;29,24
15/01/2016;4,06;3,67;28,54
18/01/2016;4,05;3,62;28,44
19/01/2016;4,12;3,60;29,04
20/01/2016;4,07;3,43;28,21
21/01/2016;4,06;3,53;28,83
22/01/2016;4,16;3,69;29,56
25/01/2016;4,17;3,54;29,29
26/01/2016;4,20;3,66;29,43
27/01/2016;4,29;3,65;30,00
28/01/2016;4,26;3,52;29,56
29/01/2016;4,26;3,61;30,19
01/02/2016;4,30;3,49;30,47
02/02/2016;4,25;3,31;29,84
03/02/2016;4,20;3,18;29,19
04/02/2016;4,17;3,36;28,93
05/02/2016;4,12;3,44;28,40
08/02/2016;4,06;3,23;27,56
09/02/2016;4,02;3,10;27,38
10/02/2016;4,01;3,26;28,09
11/02/2016;3,91;3,04;26,76
12/02/2016;3,88;3,20;27,11
15/02/2016;3,98;3,31;27,56
16/02/2016;3,94;3,31;27,22
17/02/2016;3,95;3,45;28,02
18/02/2016;3,99;3,32;28,21
19/02/2016;3,97;3,21;28,26
22/02/2016;4,00;3,37;28,59
23/02/2016;3,94;3,31;28,01
24/02/2016;3,88;3,16;27,20
25/02/2016;3,92;3,24;27,96
26/02/2016;3,91;3,38;28,51
29/02/2016;3,94;3,44;28,62
01/03/2016;3,95;3,52;29,79
02/03/2016;3,91;3,71;29,66
03/03/2016;3,90;3,71;29,33
04/03/2016;3,88;3,78;29,70
07/03/2016;3,83;3,77;29,70
08/03/2016;3,84;3,80;29,41
09/03/2016;3,93;3,77;29,92
10/03/2016;3,97;3,81;29,68
11/03/2016;4,04;4,09;29,61
14/03/2016;4,02;4,14;29,86
15/03/2016;4,03;3,96;29,68
16/03/2016;3,98;3,87;29,91
17/03/2016;3,99;3,90;29,79
18/03/2016;3,99;3,93;29,75
21/03/2016;3,99;3,89;29,88
22/03/2016;3,95;3,83;30,05
23/03/2016;3,95;3,75;30,15
24/03/2016;3,93;3,66;29,55
25/03/2016;3,93;3,66;29,55
28/03/2016;3,93;3,66;29,55
29/03/2016;3,96;3,64;29,78
30/03/2016;3,93;3,65;30,11
31/03/2016;3,87;3,56;29,57
01/04/2016;3,84;3,48;29,11
04/04/2016;3,85;3,47;29,30
05/04/2016;3,81;3,35;28,45
06/04/2016;3,81;3,34;28,63
07/04/2016;3,80;3,28;28,42
08/04/2016;3,83;3,36;28,57
11/04/2016;3,86;3,42;28,53
12/04/2016;3,88;3,46;28,74
13/04/2016;3,91;3,72;28,98
14/04/2016;3,91;3,75;28,91
15/04/2016;3,93;3,72;28,77
18/04/2016;3,94;3,79;28,90
19/04/2016;3,96;3,83;29,53
20/04/2016;4,03;3,96;29,80
21/04/2016;4,01;4,08;29,45
22/04/2016;4,05;4,10;29,50
25/04/2016;4,03;4,02;29,22
26/04/2016;4,07;4,15;28,98
27/04/2016;4,10;4,22;29,17
28/04/2016;4,15;4,25;28,65
29/04/2016;4,10;4,06;28,04
02/05/2016;4,13;4,01;28,49
03/05/2016;4,05;3,82;27,79
04/05/2016;4,00;3,72;27,47
05/05/2016;4,02;3,71;27,72
06/05/2016;4,02;3,73;27,53
09/05/2016;4,03;3,64;28,17
10/05/2016;4,07;3,74;28,54
11/05/2016;3,99;3,71;28,00
12/05/2016;4,01;3,70;27,82
13/05/2016;4,05;3,73;28,13
16/05/2016;4,04;3,72;28,08
17/05/2016;3,99;3,73;27,89
18/05/2016;4,01;3,79;28,37
19/05/2016;3,98;3,75;28,20
20/05/2016;4,01;3,80;28,80
23/05/2016;3,96;3,74;28,69
24/05/2016;4,03;3,84;29,51
25/05/2016;4,06;4,08;29,32
26/05/2016;4,06;4,00;29,57
27/05/2016;4,08;4,04;30,10
30/05/2016;4,07;4,05;30,24
31/05/2016;4,02;3,94;30,36
01/06/2016;3,96;3,83;30,21
02/06/2016;3,97;3,86;30,18
03/06/2016;3,95;3,72;29,90
06/06/2016;3,95;3,75;29,77
07/06/2016;3,98;3,80;29,75
08/06/2016;4,00;3,75;29,68
09/06/2016;4,01;3,73;29,56
10/06/2016;3,90;3,54;28,91
13/06/2016;3,84;3,42;28,49
14/06/2016;3,74;3,33;27,98
15/06/2016;3,78;3,38;29,52
16/06/2016;3,77;3,36;29,70
17/06/2016;3,84;3,49;29,27
20/06/2016;3,97;3,63;30,13
21/06/2016;3,94;3,69;30,37
22/06/2016;3,95;3,72;30,45
23/06/2016;3,96;3,88;31,01
24/06/2016;3,56;3,11;28,90
27/06/2016;3,66;3,03;28,42
28/06/2016;3,77;3,08;28,92
29/06/2016;3,92;3,19;29,81
30/06/2016;4,02;3,15;29,91
01/07/2016;4,00;3,22;29,99
04/07/2016;4,03;3,20;30,01
05/07/2016;3,87;3,11;29,81
06/07/2016;3,85;3,05;29,52
07/07/2016;3,90;3,07;29,50
08/07/2016;3,95;3,23;29,80
11/07/2016;3,96;3,28;30,40
12/07/2016;3,95;3,49;30,93
13/07/2016;4,01;3,42;30,93
14/07/2016;4,01;3,51;30,87
15/07/2016;4,03;3,50;30,73
18/07/2016;4,06;3,49;30,75
19/07/2016;4,04;3,45;30,72
20/07/2016;4,14;3,50;30,98
21/07/2016;4,14;3,54;30,76
22/07/2016;4,14;3,56;30,93
25/07/2016;4,17;3,48;30,98
26/07/2016;4,17;3,45;30,90
27/07/2016;4,16;3,55;30,88
28/07/2016;4,12;3,41;30,65
29/07/2016;4,15;3,48;30,94
01/08/2016;4,11;3,40;31,15
02/08/2016;4,05;3,22;30,61
03/08/2016;4,02;3,21;30,57
04/08/2016;4,05;3,30;30,85
05/08/2016;4,07;3,40;32,06
08/08/2016;4,07;3,46;31,63
09/08/2016;4,07;3,50;32,12
10/08/2016;4,06;3,51;31,82
11/08/2016;4,10;3,53;32,00
12/08/2016;4,11;3,53;31,93
15/08/2016;4,10;3,53;31,95
16/08/2016;4,03;3,50;31,20
17/08/2016;3,98;3,41;30,93
18/08/2016;4,00;3,41;31,42
19/08/2016;3,95;3,34;31,37
22/08/2016;3,97;3,36;31,15
23/08/2016;3,99;3,46;31,96
24/08/2016;3,98;3,54;32,07
25/08/2016;3,97;3,53;31,71
26/08/2016;3,98;3,57;31,83
29/08/2016;3,97;3,55;31,70
30/08/2016;3,98;3,61;31,88
31/08/2016;3,98;3,69;31,77
01/09/2016;3,99;3,71;31,81
02/09/2016;4,06;3,76;32,37
05/09/2016;4,08;3,78;32,40
06/09/2016;4,07;3,73;32,30
07/09/2016;4,13;3,79;33,11
08/09/2016;4,10;3,88;32,89
09/09/2016;4,08;3,86;32,26
12/09/2016;4,01;3,75;32,00
13/09/2016;3,99;3,65;31,62
14/09/2016;3,99;3,60;31,83
15/09/2016;3,97;3,63;31,93
16/09/2016;4,00;3,56;31,75
19/09/2016;4,05;3,59;32,39
20/09/2016;4,02;3,56;32,68
21/09/2016;4,00;3,67;32,17
22/09/2016;4,08;3,75;33,37
23/09/2016;4,04;3,63;32,96
26/09/2016;4,03;3,56;32,82
27/09/2016;4,02;3,54;32,98
28/09/2016;4,07;3,59;33,06
29/09/2016;4,09;3,62;33,13
30/09/2016;4,08;3,62;33,00
03/10/2016;4,07;3,62;32,77
04/10/2016;4,06;3,63;32,92
05/10/2016;4,02;3,68;32,86
06/10/2016;3,99;3,72;32,73
07/10/2016;3,95;3,64;32,06
10/10/2016;3,99;3,65;32,66
11/10/2016;3,96;3,66;32,35
12/10/2016;3,95;3,67;32,16
13/10/2016;3,97;3,59;31,98
14/10/2016;4,05;3,72;32,40
17/10/2016;4,05;3,71;32,04
18/10/2016;4,11;3,80;32,22
19/10/2016;4,12;3,88;32,60
20/10/2016;4,15;3,98;32,93
21/10/2016;4,17;4,02;33,23
24/10/2016;4,17;4,17;32,93
25/10/2016;4,17;4,12;32,57
26/10/2016;4,20;4,14;32,74
27/10/2016;4,19;4,21;32,65
28/10/2016;4,20;4,19;32,34
31/10/2016;4,19;4,16;31,85
01/11/2016;4,17;4,08;31,61
02/11/2016;4,12;4,00;31,29
03/11/2016;4,09;4,04;31,12
04/11/2016;4,06;3,99;30,76
07/11/2016;4,09;4,06;31,13
08/11/2016;4,08;4,10;31,18
09/11/2016;4,00;4,11;31,18
10/11/2016;3,89;4,11;30,49
11/11/2016;3,86;3,95;30,49
14/11/2016;3,81;4,01;30,91
15/11/2016;3,82;4,06;31,29
16/11/2016;3,77;4,01;31,06
17/11/2016;3,85;4,04;31,45
18/11/2016;3,80;3,96;31,49
21/11/2016;3,80;3,96;31,44
22/11/2016;3,80;4,02;31,40
23/11/2016;3,78;4,02;31,22
24/11/2016;3,78;4,00;32,05
25/11/2016;3,86;3,97;32,40
28/11/2016;3,86;3,91;32,24
29/11/2016;3,87;3,96;32,46
30/11/2016;3,83;4,00;32,28
01/12/2016;3,78;4,03;31,80
02/12/2016;3,78;3,98;31,64
05/12/2016;3,77;4,04;31,98
06/12/2016;3,90;4,24;32,30
07/12/2016;3,87;4,35;32,23
08/12/2016;3,88;4,58;31,90
09/12/2016;3,93;4,53;32,31
12/12/2016;3,98;4,54;32,24
13/12/2016;4,04;4,60;32,99
14/12/2016;4,01;4,54;32,00
15/12/2016;4,05;4,64;32,02
16/12/2016;4,05;4,67;32,45
19/12/2016;4,07;4,56;32,07
20/12/2016;4,11;4,64;32,12
21/12/2016;4,11;4,62;32,02
22/12/2016;4,12;4,60;32,13
23/12/2016;4,14;4,62;32,19
26/12/2016;4,14;4,62;32,19
27/12/2016;4,17;4,60;32,25
28/12/2016;4,18;4,58;32,40
29/12/2016;4,19;4,55;32,35
30/12/2016;4,21;4,60;32,43
02/01/2017;4,21;4,63;32,60
03/01/2017;4,18;4,75;32,28
04/01/2017;4,15;4,77;31,97
05/01/2017;4,15;4,78;31,45
06/01/2017;4,14;4,81;31,68
09/01/2017;4,16;4,75;31,87
10/01/2017;4,12;4,75;31,63
11/01/2017;4,13;4,71;31,38
12/01/2017;4,18;4,70;31,62
13/01/2017;4,19;4,78;31,93
16/01/2017;4,16;4,70;31,59
17/01/2017;4,16;4,68;31,40
18/01/2017;4,14;4,70;31,35
19/01/2017;4,10;4,72;31,23
20/01/2017;4,14;4,77;31,00
23/01/2017;4,10;4,69;31,07
24/01/2017;4,10;4,79;31,02
25/01/2017;4,10;4,99;31,12
26/01/2017;4,08;4,98;30,84
27/01/2017;4,06;4,97;30,85
30/01/2017;4,00;4,83;30,65
31/01/2017;4,03;4,78;30,54
01/02/2017;3,99;4,83;30,53
02/02/2017;4,03;4,91;30,54
03/02/2017;4,04;4,95;30,73
06/02/2017;4,02;4,85;30,57
07/02/2017;4,07;4,75;30,89
08/02/2017;4,14;4,69;30,86
09/02/2017;4,17;4,76;31,12
10/02/2017;4,14;4,68;31,14
13/02/2017;4,19;4,76;31,34
14/02/2017;4,15;4,80;31,28
15/02/2017;4,17;4,88;31,34
16/02/2017;4,18;4,83;31,18
17/02/2017;4,16;4,77;31,02
20/02/2017;4,20;4,79;30,96
21/02/2017;4,21;4,83;31,02
22/02/2017;4,20;4,74;30,73
23/02/2017;4,30;4,75;30,47
24/02/2017;4,33;4,69;30,21
27/02/2017;4,33;4,70;29,95
28/02/2017;4,33;4,79;30,32
01/03/2017;4,34;4,94;30,89
02/03/2017;4,34;4,85;30,60
03/03/2017;4,37;4,93;30,63
06/03/2017;4,40;4,91;30,60
07/03/2017;4,42;4,91;30,51
08/03/2017;4,41;4,96;30,93
09/03/2017;4,43;5,08;31,58
10/03/2017;4,35;5,10;31,44
13/03/2017;4,35;5,07;31,28
14/03/2017;4,34;4,98;31,39
15/03/2017;4,33;5,04;31,41
16/03/2017;4,39;5,23;31,68
17/03/2017;4,45;5,25;31,91
20/03/2017;4,42;5,23;32,04
21/03/2017;4,45;5,25;32,01
22/03/2017;4,49;5,27;31,81
23/03/2017;4,48;5,31;32,51
24/03/2017;4,47;5,31;32,35
27/03/2017;4,53;5,26;32,56
28/03/2017;4,55;5,35;32,51
29/03/2017;4,56;5,31;32,69
30/03/2017;4,58;5,33;32,55
31/03/2017;4,63;5,33;33,04
03/04/2017;4,58;5,24;32,74
04/04/2017;4,60;5,26;33,06
05/04/2017;4,61;5,29;32,88
06/04/2017;4,67;5,35;33,68
07/04/2017;4,67;5,36;33,92
10/04/2017;4,65;5,27;33,85
11/04/2017;4,63;5,23;33,95
12/04/2017;4,64;5,16;33,90
13/04/2017;4,61;5,09;34,33
14/04/2017;4,61;5,09;34,33
17/04/2017;4,61;5,09;34,33
18/04/2017;4,59;5,08;34,17
19/04/2017;4,53;5,23;34,41
20/04/2017;4,46;5,26;34,22
21/04/2017;4,49;5,26;34,19
24/04/2017;4,63;5,57;35,02
25/04/2017;4,55;5,61;35,15
26/04/2017;4,50;5,62;34,96
27/04/2017;4,55;5,52;34,83
28/04/2017;4,55;5,56;35,21
01/05/2017;4,55;5,56;35,21
02/05/2017;4,61;5,62;35,44
03/05/2017;4,64;5,64;35,71
04/05/2017;4,72;5,73;36,18
05/05/2017;4,76;5,85;36,32
08/05/2017;4,73;5,82;36,09
09/05/2017;4,72;5,72;36,54
10/05/2017;4,71;5,69;36,51
11/05/2017;4,62;5,63;35,85
12/05/2017;4,66;5,60;36,43
15/05/2017;4,66;5,70;36,29
16/05/2017;4,74;5,70;36,46
17/05/2017;4,70;5,53;36,01
18/05/2017;4,70;5,33;35,91
19/05/2017;4,78;5,42;35,94
22/05/2017;4,80;5,30;36,34
23/05/2017;4,86;5,42;36,18
24/05/2017;4,80;5,45;36,10
25/05/2017;4,87;5,46;35,98
26/05/2017;4,83;5,45;36,27
29/05/2017;4,85;5,44;35,98
30/05/2017;4,86;5,39;36,34
31/05/2017;4,90;5,37;36,40
01/06/2017;4,90;5,38;36,31
02/06/2017;4,93;5,40;36,67
05/06/2017;4,96;5,39;36,63
06/06/2017;5,00;5,39;36,66
07/06/2017;4,96;5,34;36,20
08/06/2017;4,96;5,62;36,43
09/06/2017;4,93;5,68;36,41
12/06/2017;4,84;5,63;35,80
13/06/2017;4,85;5,63;35,86
14/06/2017;4,88;5,51;35,22
15/06/2017;4,87;5,47;34,97
16/06/2017;4,95;5,44;35,21
19/06/2017;4,95;5,50;35,56
20/06/2017;4,94;5,44;35,16
21/06/2017;4,97;5,43;35,02
22/06/2017;4,92;5,44;35,07
23/06/2017;4,88;5,38;34,86
26/06/2017;4,97;5,43;34,94
27/06/2017;4,85;5,46;34,83
28/06/2017;4,86;5,57;34,54
29/06/2017;4,80;5,49;33,92
30/06/2017;4,78;5,38;33,61
03/07/2017;4,79;5,57;33,84
04/07/2017;4,77;5,53;33,80
05/07/2017;4,75;5,50;33,89
06/07/2017;4,71;5,55;33,54
07/07/2017;4,70;5,48;33,64
10/07/2017;4,74;5,48;33,75
11/07/2017;4,71;5,44;33,34
12/07/2017;4,84;5,46;33,79
13/07/2017;4,85;5,52;34,05
14/07/2017;4,85;5,47;34,20
17/07/2017;4,87;5,41;34,55
18/07/2017;4,87;5,37;33,72
19/07/2017;4,95;5,34;34,22
20/07/2017;4,84;5,40;34,17
21/07/2017;4,77;5,32;33,63
24/07/2017;4,72;5,38;33,65
25/07/2017;4,71;5,48;33,39
26/07/2017;4,72;5,48;33,62
27/07/2017;4,73;5,48;33,75
28/07/2017;4,69;5,48;33,50
31/07/2017;4,70;5,45;33,59
01/08/2017;4,76;5,50;33,88
02/08/2017;4,76;5,39;33,75
03/08/2017;4,78;5,44;33,68
04/08/2017;4,83;5,49;33,96
07/08/2017;4,82;5,51;33,96
08/08/2017;4,85;5,53;34,36
09/08/2017;4,82;5,41;34,04
10/08/2017;4,76;5,29;33,60
11/08/2017;4,72;5,16;33,17
14/08/2017;4,84;5,28;33,43
15/08/2017;4,88;5,29;33,59
16/08/2017;4,91;5,33;33,76
17/08/2017;4,94;5,19;33,77
18/08/2017;4,94;5,18;33,45
21/08/2017;4,91;5,13;33,61
22/08/2017;4,92;5,17;33,67
23/08/2017;4,89;5,13;33,44
24/08/2017;4,88;5,16;33,45
25/08/2017;4,89;5,16;33,41
28/08/2017;4,87;5,14;33,01
29/08/2017;4,84;5,07;33,23
30/08/2017;4,83;5,10;33,11
31/08/2017;4,83;5,15;31,92
01/09/2017;4,84;5,17;31,85
04/09/2017;4,82;5,14;31,55
05/09/2017;4,84;5,05;31,17
06/09/2017;4,83;5,01;31,20
07/09/2017;4,87;4,98;31,12
08/09/2017;4,85;5,04;30,90
11/09/2017;4,88;5,21;31,45
12/09/2017;4,85;5,26;32,05
13/09/2017;4,84;5,28;32,18
14/09/2017;4,76;5,34;32,35
15/09/2017;4,76;5,27;32,65
18/09/2017;4,74;5,31;32,54
19/09/2017;4,76;5,36;32,69
20/09/2017;4,73;5,31;32,41
21/09/2017;4,70;5,37;32,00
22/09/2017;4,67;5,42;31,91
25/09/2017;4,68;5,36;31,53
26/09/2017;4,67;5,35;31,52
27/09/2017;4,65;5,53;31,59
28/09/2017;4,59;5,56;31,71
29/09/2017;4,63;5,58;31,89
02/10/2017;4,62;5,49;31,47
03/10/2017;4,56;5,50;31,31
04/10/2017;4,41;5,29;30,66
05/10/2017;4,54;5,44;31,24
06/10/2017;4,55;5,45;30,95
09/10/2017;4,65;5,46;31,30
10/10/2017;4,65;5,30;31,00
11/10/2017;4,75;5,33;31,40
12/10/2017;4,76;5,31;31,40
13/10/2017;4,77;5,25;31,18
16/10/2017;4,71;5,25;31,12
17/10/2017;4,72;5,31;31,45
18/10/2017;4,70;5,36;31,26
19/10/2017;4,71;5,30;30,90
20/10/2017;4,72;5,32;30,99
23/10/2017;4,76;5,27;30,95
24/10/2017;4,73;5,35;30,92
25/10/2017;4,63;5,35;30,60
26/10/2017;4,75;5,53;31,48
27/10/2017;4,71;5,42;31,26
30/10/2017;4,83;5,54;32,19
31/10/2017;4,89;5,54;32,10
01/11/2017;4,87;5,54;31,47
02/11/2017;4,86;5,53;31,20
03/11/2017;4,83;5,43;31,15
06/11/2017;4,85;5,36;30,89
07/11/2017;4,77;5,34;29,96
08/11/2017;4,75;5,32;30,10
09/11/2017;4,70;5,28;29,73
10/11/2017;4,65;5,29;29,56
13/11/2017;4,62;5,26;29,34
14/11/2017;4,58;5,19;29,39
15/11/2017;4,61;5,25;29,19
16/11/2017;4,61;5,26;29,76
17/11/2017;4,56;5,21;29,27
20/11/2017;4,55;5,23;29,50
21/11/2017;4,54;5,20;29,36
22/11/2017;4,55;5,23;29,28
23/11/2017;4,56;5,24;29,28
24/11/2017;4,53;5,28;29,48
27/11/2017;4,61;5,30;29,60
28/11/2017;4,65;5,32;29,84
29/11/2017;4,70;5,42;29,78
30/11/2017;4,70;5,36;29,74
01/12/2017;4,63;5,23;29,57
04/12/2017;4,67;5,30;30,58
05/12/2017;4,68;5,28;30,38
06/12/2017;4,73;5,23;30,61
07/12/2017;4,76;5,26;30,97
08/12/2017;4,73;5,35;31,08
11/12/2017;4,73;5,36;31,15
12/12/2017;4,73;5,40;30,77
13/12/2017;4,67;5,38;31,30
14/12/2017;4,59;5,34;30,72
15/12/2017;4,64;5,35;29,96
18/12/2017;4,68;5,39;30,01
19/12/2017;4,60;5,39;29,81
20/12/2017;4,64;5,35;29,53
21/12/2017;4,64;5,43;29,93
22/12/2017;4,59;5,32;29,62
25/12/2017;4,59;5,32;29,62
26/12/2017;4,59;5,32;29,62
27/12/2017;4,59;5,29;29,58
28/12/2017;4,55;5,24;29,17
29/12/2017;4,55;5,21;29,05
01/01/2018;4,55;5,21;29,05
02/01/2018;4,51;5,18;28,90
03/01/2018;4,54;5,19;28,87
04/01/2018;4,69;5,36;29,02
05/01/2018;4,75;5,39;29,60
08/01/2018;4,71;5,41;29,50
09/01/2018;4,65;5,42;29,60
10/01/2018;4,60;5,55;28,85
11/01/2018;4,67;5,62;28,55
12/01/2018;4,70;5,63;28,69
15/01/2018;4,73;5,61;28,75
16/01/2018;4,82;5,65;28,66
17/01/2018;4,83;5,60;28,72
18/01/2018;4,79;5,61;28,33
19/01/2018;4,81;5,64;28,56
22/01/2018;4,81;5,74;28,72
23/01/2018;4,85;5,71;29,00
24/01/2018;4,86;5,69;29,00
25/01/2018;4,84;5,78;28,96
26/01/2018;4,82;5,76;29,01
29/01/2018;4,76;5,75;29,18
30/01/2018;4,72;5,64;29,05
31/01/2018;4,72;5,69;28,87
01/02/2018;4,68;5,65;28,29
02/02/2018;4,61;5,56;27,65
05/02/2018;4,54;5,49;27,37
06/02/2018;4,36;5,33;26,63
07/02/2018;4,46;5,45;26,75
08/02/2018;4,38;5,30;26,16
09/02/2018;4,30;5,21;26,11
12/02/2018;4,38;5,31;26,52
13/02/2018;4,32;5,21;26,00
14/02/2018;4,35;5,22;26,27
15/02/2018;4,35;5,25;26,44
16/02/2018;4,41;5,34;26,82
19/02/2018;4,40;5,31;26,66
20/02/2018;4,43;5,40;27,33
21/02/2018;4,25;5,38;27,03
22/02/2018;4,32;5,38;26,90
23/02/2018;4,39;5,37;25,00
26/02/2018;4,44;5,41;25,47
27/02/2018;4,44;5,45;25,25
28/02/2018;4,37;5,39;24,96
01/03/2018;4,36;5,33;24,57
02/03/2018;4,27;5,21;24,00
05/03/2018;4,35;5,23;24,11
06/03/2018;4,32;5,18;24,22
07/03/2018;4,31;5,19;23,94
08/03/2018;4,37;5,20;23,95
09/03/2018;4,36;5,19;24,07
12/03/2018;4,36;5,21;24,31
13/03/2018;4,33;5,18;24,26
14/03/2018;4,32;5,09;25,19
15/03/2018;4,35;5,07;25,45
16/03/2018;4,32;5,17;25,87
19/03/2018;4,29;5,09;26,14
20/03/2018;4,26;5,10;26,20
21/03/2018;4,25;5,06;25,81
22/03/2018;4,17;4,95;25,46
23/03/2018;4,15;4,92;25,08
26/03/2018;4,16;4,97;24,68
27/03/2018;4,20;5,00;25,08
28/03/2018;4,35;4,99;25,49
29/03/2018;4,30;5,03;25,43
30/03/2018;4,30;5,03;25,43
02/04/2018;4,30;5,03;25,43
03/04/2018;4,29;4,97;25,69
04/04/2018;4,27;4,95;25,56
05/04/2018;4,31;5,13;26,19
06/04/2018;4,33;5,07;26,04
09/04/2018;4,35;5,10;26,09
10/04/2018;4,34;5,08;25,65
11/04/2018;4,42;5,06;25,42
12/04/2018;4,43;5,08;25,18
13/04/2018;4,50;5,10;24,55
16/04/2018;4,48;5,12;24,65
17/04/2018;4,51;5,14;25,17
18/04/2018;4,53;5,20;24,95
19/04/2018;4,50;5,23;24,62
20/04/2018;4,52;5,24;24,49
23/04/2018;4,51;5,30;24,45
24/04/2018;4,54;5,13;24,81
25/04/2018;4,55;5,11;25,33
26/04/2018;4,57;5,09;25,55
27/04/2018;4,59;5,05;25,36
30/04/2018;4,62;5,11;25,78
01/05/2018;4,62;5,11;25,78
02/05/2018;4,70;5,13;26,37
03/05/2018;4,69;5,07;26,27
04/05/2018;4,73;5,11;26,60
07/05/2018;4,73;5,11;26,62
08/05/2018;4,72;5,12;26,77
09/05/2018;4,71;5,17;27,10
10/05/2018;4,69;5,22;26,97
11/05/2018;4,69;5,25;26,75
14/05/2018;4,70;5,23;26,87
15/05/2018;4,72;5,20;26,68
16/05/2018;4,69;5,07;26,87
17/05/2018;4,73;5,09;27,92
18/05/2018;4,75;4,95;27,76
21/05/2018;4,71;4,91;27,58
22/05/2018;4,72;5,00;27,30
23/05/2018;4,67;4,91;27,45
24/05/2018;4,65;4,87;28,36
25/05/2018;4,54;4,74;28,36
28/05/2018;4,50;4,65;28,45
29/05/2018;4,43;4,39;28,05
30/05/2018;4,44;4,44;27,40
31/05/2018;4,37;4,37;27,01
01/06/2018;4,44;4,52;27,44
04/06/2018;4,57;4,54;28,15
05/06/2018;4,56;4,46;28,46
06/06/2018;4,58;4,54;28,57
07/06/2018;4,62;4,53;28,31
08/06/2018;4,57;4,46;28,29
11/06/2018;4,68;4,59;28,61
12/06/2018;4,70;4,58;28,92
13/06/2018;4,68;4,53;29,94
14/06/2018;4,79;4,55;30,03
15/06/2018;4,83;4,45;29,93
18/06/2018;4,73;4,42;29,59
19/06/2018;4,73;4,43;29,47
20/06/2018;4,74;4,49;29,44
21/06/2018;4,63;4,45;29,61
22/06/2018;4,70;4,50;29,81
25/06/2018;4,65;4,37;29,51
26/06/2018;4,72;4,38;29,74
27/06/2018;4,83;4,36;29,78
28/06/2018;4,79;4,35;29,47
29/06/2018;4,77;4,37;29,26
02/07/2018;4,77;4,34;29,27
03/07/2018;4,87;4,38;29,58
04/07/2018;4,95;4,41;29,68
05/07/2018;4,99;4,49;29,59
06/07/2018;5,02;4,52;29,64
09/07/2018;4,99;4,56;30,03
10/07/2018;4,98;4,52;30,00
11/07/2018;4,94;4,41;29,34
12/07/2018;4,95;4,43;29,45
13/07/2018;4,95;4,39;29,27
16/07/2018;4,93;4,40;29,19
17/07/2018;4,94;4,38;29,38
18/07/2018;4,97;4,42;29,33
19/07/2018;4,94;4,42;29,27
20/07/2018;4,96;4,42;29,27
23/07/2018;4,96;4,43;29,19
24/07/2018;4,92;4,51;28,85
25/07/2018;4,85;4,48;28,39
26/07/2018;4,88;4,53;28,64
27/07/2018;4,91;4,58;28,43
30/07/2018;4,90;4,53;28,20
31/07/2018;4,92;4,58;28,05
01/08/2018;4,88;4,52;27,98
02/08/2018;4,86;4,45;27,74
03/08/2018;4,86;4,46;27,75
06/08/2018;4,85;4,45;27,52
07/08/2018;4,86;4,49;27,63
08/08/2018;4,87;4,46;27,51
09/08/2018;4,85;4,44;28,02
10/08/2018;4,83;4,32;28,05
13/08/2018;4,82;4,21;27,86
14/08/2018;4,84;4,20;27,61
15/08/2018;4,80;4,12;27,49
16/08/2018;4,81;4,15;27,32
17/08/2018;4,81;4,13;27,55
20/08/2018;4,81;4,13;27,73
21/08/2018;4,81;4,18;27,97
22/08/2018;4,80;4,14;28,41
23/08/2018;4,79;4,14;28,33
24/08/2018;4,81;4,14;28,54
27/08/2018;4,81;4,17;28,81
28/08/2018;4,80;4,15;28,29
29/08/2018;4,82;4,15;26,69
